outcode,latitude,longitude
BH1,50.724843117932146,-1.8601549628432958
BH10,50.75954373046875,-1.892826265625
BH11,50.76249348514851,-1.920034811881188
BH12,50.73738047619048,-1.9275590555555555
BH13,50.70895023569024,-1.9205226498316497
BH14,50.72141996683251,-1.944671905472637
BH15,50.72243047505938,-1.985507440617577
BH16,50.74042733496333,-2.0474501026894867
BH17,50.746909771167054,-1.9804007688787184
BH18,50.75965114864864,-1.9988140878378378
BH19,50.61164193490055,-1.9709652983725134
BH2,50.72102887272727,-1.8841864
BH20,50.68721127777778,-2.149176831944444
BH21,50.81235338305085,-1.9744968352542371
BH22,50.805040266853936,-1.8885154058988765
BH23,50.747562225,-1.754393334375
BH24,50.843064059040586,-1.7886028843788437
BH25,50.75278606475716,-1.6580171108343709
BH3,50.73652576923077,-1.8833254615384616
BH31,50.87650734219269,-1.8731566179401995
BH4,50.72125834710744,-1.8996407314049586
BH5,50.7252684,-1.83216712
BH6,50.72763902857143,-1.8020175695238094
BH7,50.73642775510204,-1.8262709455782316
BH8,50.74208385208012,-1.8518257919876735
BH9,50.74966146706587,-1.872702865269461
BL0,53.648593825622775,-2.3168785604982207
BL1,53.59049930756844,-2.4448893891572734
BL11,53.57235608695652,-2.425462608695652
BL2,53.5885009730669,-2.395030163336229
BL3,53.56464570601014,-2.4322179507603185
BL4,53.546264349881795,-2.4015380591016546
BL5,53.54819242165242,-2.515523398860399
BL6,53.5917957016683,-2.5407986143277723
BL7,53.631807047244095,-2.422372472440945
BL78,53.56464666666667,-2.41178
BL8,53.60501581441264,-2.3278314550839094
BL9,53.59211868281604,-2.2870757047691144
BN1,50.842613875236296,-0.13931669187145557
BN10,50.79603510242086,0.0015967858472998137
BN11,50.81357160471442,-0.3769890788757933
BN12,50.813949781976746,-0.42942366569767443
BN13,50.832784811932555,-0.41163035538262
BN14,50.83408797062751,-0.38215289452603474
BN15,50.83044325613079,-0.32538532697547684
BN16,50.81534110675808,-0.49497691576885405
BN17,50.8150865620915,-0.5400291790849673
BN18,50.84569853700516,-0.5905429053356283
BN2,50.82527756537983,-0.10108114508094646
BN20,50.77496305898491,0.25192852537722904
BN21,50.77281659482758,0.2764494385775862
BN22,50.78992002415459,0.2834953297101449
BN23,50.79765765647744,0.3126146885007278
BN24,50.81669600543478,0.325146214673913
BN25,50.776572047511316,0.10861205656108597
BN26,50.8211911832061,0.2230535858778626
BN27,50.8719406684492,0.26341262477718363
BN3,50.83523635294118,-0.17764356539792386
BN41,50.841253482587064,-0.21722037064676616
BN42,50.83757269406393,-0.2347065707762557
BN43,50.836066406844104,-0.26677266920152093
